class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,0.9930555555555556,0.9930555555555556
2,537,142,mid,0.9366197183098591,0.9366197183098591
3,540,141,mid,0.8936170212765957,0.8936170212765957
4,540,143,mid,0.8111888111888111,0.8111888111888111
5,540,145,mid,0.9724137931034482,0.9724137931034482
6,537,144,mid,0.9791666666666666,0.9791666666666666
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9583333333333334,0.9583333333333334
9,214,59,tail,0.9830508474576272,0.9830508474576272
10,544,142,head,0.9366197183098591,0.9366197183098591
11,542,144,head,0.9513888888888888,0.9513888888888888
12,314,83,mid,0.9518072289156626,0.9518072289156626
13,543,143,head,0.972027972027972,0.972027972027972
14,540,143,mid,0.951048951048951,0.951048951048951
15,540,141,mid,0.8297872340425532,0.8297872340425532
16,216,59,tail,1.0,1.0
17,539,144,mid,0.9722222222222222,0.9722222222222222
18,534,145,mid,0.9586206896551724,0.9586206896551724
19,543,143,head,0.9370629370629371,0.9370629370629371
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9928057553956835,0.9928057553956835
22,541,142,head,0.9507042253521126,0.9507042253521126
23,537,142,mid,0.9647887323943662,0.9647887323943662
24,216,59,tail,0.9661016949152542,0.9661016949152542
25,540,140,mid,0.9571428571428572,0.9571428571428572
26,539,141,mid,0.9361702127659575,0.9361702127659575
27,538,143,mid,0.972027972027972,0.972027972027972
28,536,142,mid,0.9084507042253521,0.9084507042253521
29,216,59,tail,0.9830508474576272,0.9830508474576272
30,542,142,head,0.9647887323943662,0.9647887323943662
31,538,144,mid,0.9652777777777778,0.9652777777777778
32,216,60,tail,0.9333333333333333,0.9333333333333333
33,537,143,mid,0.8811188811188811,0.8811188811188811
34,540,141,mid,0.9432624113475178,0.9432624113475178
35,540,142,mid,0.9507042253521126,0.9507042253521126
36,538,143,mid,0.951048951048951,0.951048951048951
37,216,59,tail,0.9830508474576272,0.9830508474576272
38,539,144,mid,0.9930555555555556,0.9930555555555556
39,539,140,mid,0.9428571428571428,0.9428571428571428
40,536,142,mid,0.9436619718309859,0.9436619718309859
41,540,141,mid,0.900709219858156,0.900709219858156
42,538,142,mid,1.0,1.0
43,540,142,mid,0.9647887323943662,0.9647887323943662
44,216,59,tail,0.9661016949152542,0.9661016949152542
