class_id,train_support,test_support,support_tier,top1_accuracy,recall
0,765,201,head,0.9950248756218906,0.9950248756218906
1,541,144,head,1.0,1.0
2,537,142,mid,0.9436619718309859,0.9436619718309859
3,540,141,mid,0.9148936170212766,0.9148936170212766
4,540,143,mid,0.9020979020979021,0.9020979020979021
5,540,145,mid,0.9655172413793104,0.9655172413793104
6,537,144,mid,0.9791666666666666,0.9791666666666666
7,538,144,mid,0.9236111111111112,0.9236111111111112
8,541,144,head,0.9583333333333334,0.9583333333333334
9,214,59,tail,0.9661016949152542,0.9661016949152542
10,544,142,head,0.9295774647887324,0.9295774647887324
11,542,144,head,0.9513888888888888,0.9513888888888888
12,314,83,mid,0.9879518072289156,0.9879518072289156
13,543,143,head,0.965034965034965,0.965034965034965
14,540,143,mid,0.9370629370629371,0.9370629370629371
15,540,141,mid,0.8368794326241135,0.8368794326241135
16,216,59,tail,0.9830508474576272,0.9830508474576272
17,539,144,mid,0.9652777777777778,0.9652777777777778
18,534,145,mid,0.9586206896551724,0.9586206896551724
19,543,143,head,0.9370629370629371,0.9370629370629371
20,543,143,head,0.951048951048951,0.951048951048951
21,543,139,head,0.9784172661870504,0.9784172661870504
22,541,142,head,0.9014084507042254,0.9014084507042254
23,537,142,mid,0.9647887323943662,0.9647887323943662
24,216,59,tail,0.9491525423728814,0.9491525423728814
25,540,140,mid,0.9142857142857143,0.9142857142857143
26,539,141,mid,0.9290780141843972,0.9290780141843972
27,538,143,mid,0.972027972027972,0.972027972027972
28,536,142,mid,0.9084507042253521,0.9084507042253521
29,216,59,tail,0.9661016949152542,0.9661016949152542
30,542,142,head,0.9788732394366197,0.9788732394366197
31,538,144,mid,0.9583333333333334,0.9583333333333334
32,216,60,tail,0.9333333333333333,0.9333333333333333
33,537,143,mid,0.9230769230769231,0.9230769230769231
34,540,141,mid,0.900709219858156,0.900709219858156
35,540,142,mid,0.9577464788732394,0.9577464788732394
36,538,143,mid,0.965034965034965,0.965034965034965
37,216,59,tail,1.0,1.0
38,539,144,mid,1.0,1.0
39,539,140,mid,0.9714285714285714,0.9714285714285714
40,536,142,mid,0.9014084507042254,0.9014084507042254
41,540,141,mid,0.8865248226950354,0.8865248226950354
42,538,142,mid,0.9788732394366197,0.9788732394366197
43,540,142,mid,0.9788732394366197,0.9788732394366197
44,216,59,tail,0.9830508474576272,0.9830508474576272
45,213,60,tail,0.9166666666666666,0.9166666666666666
46,535,142,mid,0.9436619718309859,0.9436619718309859
47,541,144,head,0.8680555555555556,0.8680555555555556
48,216,57,tail,0.9473684210526315,0.9473684210526315
49,533,144,mid,0.9027777777777778,0.9027777777777778
50,540,144,mid,0.9027777777777778,0.9027777777777778
51,543,145,head,0.6551724137931034,0.6551724137931034
52,540,143,mid,0.8461538461538461,0.8461538461538461
53,540,143,mid,0.965034965034965,0.965034965034965
54,540,142,mid,0.8028169014084507,0.8028169014084507
55,539,142,mid,0.9366197183098591,0.9366197183098591
56,538,142,mid,0.9014084507042254,0.9014084507042254
57,521,140,mid,0.9,0.9
58,531,143,mid,0.916083916083916,0.916083916083916
59,539,143,mid,0.951048951048951,0.951048951048951
60,513,135,mid,0.8666666666666667,0.8666666666666667
61,549,141,head,0.9361702127659575,0.9361702127659575
62,537,144,mid,0.9652777777777778,0.9652777777777778
63,211,60,tail,0.9833333333333333,0.9833333333333333
64,541,143,head,0.9300699300699301,0.9300699300699301
65,534,143,mid,0.958041958041958,0.958041958041958
66,542,144,head,0.9722222222222222,0.9722222222222222
67,540,143,mid,0.916083916083916,0.916083916083916
68,537,144,mid,0.9375,0.9375
69,537,143,mid,0.972027972027972,0.972027972027972
70,215,60,tail,0.95,0.95
71,537,143,mid,0.916083916083916,0.916083916083916
72,540,142,mid,0.9929577464788732,0.9929577464788732
73,540,142,mid,0.9788732394366197,0.9788732394366197
74,538,144,mid,0.9791666666666666,0.9791666666666666
75,538,143,mid,0.951048951048951,0.951048951048951
76,542,143,head,0.972027972027972,0.972027972027972
77,540,144,mid,0.9652777777777778,0.9652777777777778
78,539,141,mid,0.9645390070921985,0.9645390070921985
79,542,142,head,0.9014084507042254,0.9014084507042254
80,215,58,tail,0.9482758620689655,0.9482758620689655
81,543,145,head,0.8620689655172413,0.8620689655172413
82,537,144,mid,0.8958333333333334,0.8958333333333334
83,541,144,head,0.9444444444444444,0.9444444444444444
84,541,142,head,0.9507042253521126,0.9507042253521126
85,216,60,tail,0.9666666666666667,0.9666666666666667
86,538,143,mid,0.8881118881118881,0.8881118881118881
